The Bearer of Bad Tidings,1,2,19,http://192.168.1.250/Video/Becker/Season 2/Becker S2E19.m4v
One Angry Man,1,2,20,http://192.168.1.250/Video/Becker/Season 2/Becker S2E20.m4v
Sight Unseen,1,2,21,http://192.168.1.250/Video/Becker/Season 2/Becker S2E21.m4v
Crosstalk,1,2,22,http://192.168.1.250/Video/Becker/Season 2/Becker S2E22.m4v
Cooked,1,2,23,http://192.168.1.250/Video/Becker/Season 2/Becker S2E23.m4v
Panic on the 86th,1,2,24,http://192.168.1.250/Video/Becker/Season 2/Becker S2E24.m4v
The Film Critic,1,3,1,http://192.168.1.250/Video/Becker/Season 3/Becker S3E01.m4v
SuperBob,1,3,2,http://192.168.1.250/Video/Becker/Season 3/Becker S3E02.m4v
One Wong Move,1,3,3,http://192.168.1.250/Video/Becker/Season 3/Becker S3E03.m4v
What Indifference a Day Makes,1,3,4,http://192.168.1.250/Video/Becker/Season 3/Becker S3E04.m4v
The Usual Suspects,1,3,5,http://192.168.1.250/Video/Becker/Season 3/Becker S3E05.m4v
The Wrong Man,1,3,6,http://192.168.1.250/Video/Becker/Season 3/Becker S3E06.m4v
Beckerethics,1,3,7,http://192.168.1.250/Video/Becker/Season 3/Becker S3E07.m4v
Smoke'em If You Got 'Em,1,3,8,http://192.168.1.250/Video/Becker/Season 3/Becker S3E08.m4v
Dr. Angry Head,1,3,9,http://192.168.1.250/Video/Becker/Season 3/Becker S3E09.m4v
Margaret's Dream,1,3,10,http://192.168.1.250/Video/Becker/Season 3/Becker S3E10.m4v
Heart Breaker,1,3,11,http://192.168.1.250/Video/Becker/Season 3/Becker S3E11.m4v
The Trouble with Harry,1,3,12,http://192.168.1.250/Video/Becker/Season 3/Becker S3E12.m4v
The Princess Cruise,1,3,13,http://192.168.1.250/Video/Becker/Season 3/Becker S3E13.m4v
Pretty Poison,1,3,14,http://192.168.1.250/Video/Becker/Season 3/Becker S3E14.m4v
2001 1/2: A Graduation Odyssey,1,3,15,http://192.168.1.250/Video/Becker/Season 3/Becker S3E15.m4v
Elder Hostile,1,3,16,http://192.168.1.250/Video/Becker/Season 3/Becker S3E16.m4v
The Ugly Truth,1,3,17,http://192.168.1.250/Video/Becker/Season 3/Becker S3E17.m4v
The More You Know,1,3,18,http://192.168.1.250/Video/Becker/Season 3/Becker S3E18.m4v
You Say Gay Son I Say Godson,1,3,19,http://192.168.1.250/Video/Becker/Season 3/Becker S3E19.m4v
Nocturnal Omissions,1,3,20,http://192.168.1.250/Video/Becker/Season 3/Becker S3E20.m4v
The TorMentor,1,3,21,http://192.168.1.250/Video/Becker/Season 3/Becker S3E21.m4v
Small Wonder,1,3,22,http://192.168.1.250/Video/Becker/Season 3/Becker S3E22.m4v
Sue You,1,3,23,http://192.168.1.250/Video/Becker/Season 3/Becker S3E23.m4v
Trials and Defibrillations,1,3,24,http://192.168.1.250/Video/Becker/Season 3/Becker S3E24.m4v
Psycho Therapy,1,4,1,http://192.168.1.250/Video/Becker/Season 4/Becker S4E01.m4v
Breakfast of Chumpions,1,4,2,http://192.168.1.250/Video/Becker/Season 4/Becker S4E02.m4v
Jake's Jaunt,1,4,3,http://192.168.1.250/Video/Becker/Season 4/Becker S4E03.m4v
Dog Days,1,4,4,http://192.168.1.250/Video/Becker/Season 4/Becker S4E04.m4v
Really Good Advice,1,4,5,http://192.168.1.250/Video/Becker/Season 4/Becker S4E05.m4v
Get Me Out of Here,1,4,6,http://192.168.1.250/Video/Becker/Season 4/Becker S4E06.m4v
Hanging with Jake,1,4,7,http://192.168.1.250/Video/Becker/Season 4/Becker S4E07.m4v
Dinner and a Showdown,1,4,8,http://192.168.1.250/Video/Becker/Season 4/Becker S4E08.m4v
